analysis_version,analysis_unit,scenario_id,subset_rule,cohort,record_n,slope_n,event_n,ar_n,quality_nonzero_n,missing_history_n,mean_slope,median_slope,min_slope,max_slope,positive_slope_n,negative_slope_n,near_zero_n_abs_le_0_05,positive_fraction,ar_median_mean,ar_median_median,ar_median_min,ar_median_max,paired_ar_n,ar_unweighted_mean_difference,ar_unweighted_median_difference,ar_difference_min,ar_difference_max,ar_positive_difference_n,ar_differences,interpretation_boundary
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,HISTORY_16_OF_16,历史窗16/16且零缺帧,POSITIVE_MINUS_CONTROL,,,,4,,,,,,,,,,,,,,,4,-0.003353,0.171779,-0.970004,0.613034,3,AR11158:0.613034;AR11429:0.216301;AR12297:0.127257;AR12673:-0.970004,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_40,"abs(LON_FWT),abs(LAT_FWT)<40°",POSITIVE_CANDIDATE,37,37,4,4,4,5,0.16188,0.20756,-0.619838,0.669735,26,11,2,0.702703,-0.00294,0.152865,-0.619838,0.302346,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_40,"abs(LON_FWT),abs(LAT_FWT)<40°",NEGATIVE_CANDIDATE,18,18,4,4,2,2,-0.108785,-0.154577,-0.597147,0.883588,5,13,1,0.277778,-0.114227,-0.147848,-0.310688,0.149478,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITION_ABS_LT_40,"abs(LON_FWT),abs(LAT_FWT)<40°",POSITIVE_MINUS_CONTROL,,,,4,,,,,,,,,,,,,,,4,0.111286,0.134346,-0.436581,0.613034,3,AR11158:0.613034;AR11429:0.202844;AR12297:0.065849;AR12673:-0.436581,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_30,"abs(LON_FWT),abs(LAT_FWT)<30°",POSITIVE_CANDIDATE,36,36,3,3,3,5,0.183594,0.215327,-0.452713,0.669735,26,10,2,0.722222,0.202692,0.215327,0.090404,0.302346,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_30,"abs(LON_FWT),abs(LAT_FWT)<30°",NEGATIVE_CANDIDATE,13,13,2,2,2,0,-0.115233,-0.235544,-0.597147,0.883588,4,9,1,0.307692,0.28645,0.28645,-0.310688,0.883588,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITION_ABS_LT_30,"abs(LON_FWT),abs(LAT_FWT)<30°",POSITIVE_MINUS_CONTROL,,,,1,,,,,,,,,,,,,,,1,0.613034,0.613034,0.613034,0.613034,1,AR11158:0.613034,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_20,"abs(LON_FWT),abs(LAT_FWT)<20°",POSITIVE_CANDIDATE,0,0,0,0,0,0,,,,,0,0,0,,,,,,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITION_ABS_LT_20,"abs(LON_FWT),abs(LAT_FWT)<20°",NEGATIVE_CANDIDATE,1,1,1,1,0,0,0.883588,0.883588,0.883588,0.883588,1,0,0,1,0.883588,0.883588,0.883588,0.883588,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITION_ABS_LT_20,"abs(LON_FWT),abs(LAT_FWT)<20°",POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,QUALITY_NONZERO_DIAGNOSTIC,仅保留非零QUALITY（诊断，不是主分析）,POSITIVE_CANDIDATE,4,4,2,2,4,0,0.12382,0.309389,-0.619838,0.496338,3,1,0,0.75,-0.130438,-0.130438,-0.619838,0.358963,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,QUALITY_NONZERO_DIAGNOSTIC,仅保留非零QUALITY（诊断，不是主分析）,NEGATIVE_CANDIDATE,2,2,1,1,2,0,-0.062912,-0.062912,-0.124868,-0.000956,0,2,1,0,-0.062912,-0.062912,-0.062912,-0.062912,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,QUALITY_NONZERO_DIAGNOSTIC,仅保留非零QUALITY（诊断，不是主分析）,POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,MISSING_HISTORY_DIAGNOSTIC,仅保留历史窗有缺帧的记录（诊断）,POSITIVE_CANDIDATE,5,5,1,1,0,5,0.208515,0.20756,0.116976,0.288196,5,0,0,1,0.20756,0.20756,0.20756,0.20756,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,MISSING_HISTORY_DIAGNOSTIC,仅保留历史窗有缺帧的记录（诊断）,NEGATIVE_CANDIDATE,2,2,2,2,0,2,-0.150214,-0.150214,-0.201446,-0.098982,0,2,0,0,-0.150214,-0.150214,-0.201446,-0.098982,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,MISSING_HISTORY_DIAGNOSTIC,仅保留历史窗有缺帧的记录（诊断）,POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITIVE_LEAD_3_TO_4H,"正候选且距事件[3,4)h",POSITIVE_CANDIDATE,15,15,3,3,0,4,0.12692,0.20756,-0.255551,0.605809,10,5,0,0.666667,0.129742,0.223093,-0.217,0.383132,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITIVE_LEAD_3_TO_4H,"正候选且距事件[3,4)h",POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITIVE_LEAD_4_TO_5H,"正候选且距事件[4,5)h",POSITIVE_CANDIDATE,11,11,3,3,1,1,0.298669,0.259816,-0.105713,0.669735,10,1,1,0.909091,0.263627,0.116976,0.090404,0.5835,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITIVE_LEAD_4_TO_5H,"正候选且距事件[4,5)h",POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,POSITIVE_LEAD_5_TO_6H,"正候选且距事件[5,6.01]h",POSITIVE_CANDIDATE,11,11,3,3,3,0,0.072764,0.143816,-0.619838,0.554941,6,5,1,0.545455,-0.11338,-0.21664,-0.619838,0.496338,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,POSITIVE_LEAD_5_TO_6H,"正候选且距事件[5,6.01]h",POSITIVE_MINUS_CONTROL,,,,0,,,,,,,,,,,,,,,0,,,,,0,,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST_LEAVE_ONE_AR_OUT,LEAVE_OUT_AR11158,基线样本剔除AR11158,POSITIVE_MINUS_CONTROL,28,,3,3,,,,,,,,,,,,,,,3,-0.055963,0.065849,-0.436581,0.202844,2,AR11429:0.202844;AR12297:0.065849;AR12673:-0.436581,留一AR诊断；若符号改变，说明结论受单一AR主导。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST_LEAVE_ONE_AR_OUT,LEAVE_OUT_AR11429,基线样本剔除AR11429,POSITIVE_MINUS_CONTROL,38,,3,3,,,,,,,,,,,,,,,3,0.080767,0.065849,-0.436581,0.613034,2,AR11158:0.613034;AR12297:0.065849;AR12673:-0.436581,留一AR诊断；若符号改变，说明结论受单一AR主导。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST_LEAVE_ONE_AR_OUT,LEAVE_OUT_AR12297,基线样本剔除AR12297,POSITIVE_MINUS_CONTROL,48,,3,3,,,,,,,,,,,,,,,3,0.126432,0.202844,-0.436581,0.613034,2,AR11158:0.613034;AR11429:0.202844;AR12673:-0.436581,留一AR诊断；若符号改变，说明结论受单一AR主导。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST_LEAVE_ONE_AR_OUT,LEAVE_OUT_AR12673,基线样本剔除AR12673,POSITIVE_MINUS_CONTROL,51,,3,3,,,,,,,,,,,,,,,3,0.293909,0.202844,0.065849,0.613034,3,AR11158:0.613034;AR11429:0.202844;AR12297:0.065849,留一AR诊断；若符号改变，说明结论受单一AR主导。
曾子晖_反例分析_20260810,CONTROL_SCREEN_DIAGNOSTIC,CONTROL_BEFORE_MPLUS_SCREEN,原51条临时control，完整M+筛查前,NEGATIVE_CANDIDATE,51,51,3,3,,,-0.071749,-0.125897,-0.597147,0.542518,16,35,2,0.313725,,,,,,,,,,,,仅量化control污染筛查对原临时control斜率分布的影响；筛查后的同AR记录仍非正式独立阴性样本。
曾子晖_反例分析_20260810,CONTROL_SCREEN_DIAGNOSTIC,CONTROL_RETAINED_AFTER_MPLUS_SCREEN,通过未来6h完整M+区间筛查的15条原control,NEGATIVE_CANDIDATE,15,15,3,3,,,-0.247753,-0.201446,-0.597147,0.229037,2,13,1,0.133333,,,,,,,,,,,,仅量化control污染筛查对原临时control斜率分布的影响；筛查后的同AR记录仍非正式独立阴性样本。
曾子晖_反例分析_20260810,CONTROL_SCREEN_DIAGNOSTIC,CONTROL_EXCLUDED_FUTURE6H_MPLUS,因未来6h完整M+区间交叠剔除的36条原control,NEGATIVE_CANDIDATE,36,36,3,3,,,0.001586,-0.106824,-0.551103,0.542518,14,22,1,0.388889,,,,,,,,,,,,仅量化control污染筛查对原临时control斜率分布的影响；筛查后的同AR记录仍非正式独立阴性样本。
