layer,bundle_path,source_path,role,result_usage,review_note,data_rows,bytes,source_sha256,copied_sha256
control 审计,04_control审计与替换依据/02_final_control_replacements.csv,03_结果数据/12_final_control_replacements.csv,3 条同 AR、严格数据门通过的最终 control 替换记录。,直接支撑最终 control 身份,替换后仍是同 AR 时间 control，不是独立阴性样本。,3,753,2fcd917cebb423e7e4b6a7ba0337e1ac8f691555135b5033a93fc3bc4a205fad,2fcd917cebb423e7e4b6a7ba0337e1ac8f691555135b5033a93fc3bc4a205fad
control 审计输入,04_control审计与替换依据/03_official_Mplus_event_catalog_NCEI_subset.csv,03_结果数据/09_严格对照审计/02_审计数据/02_official_Mplus_event_catalog_NCEI_v1-0-1_subset.csv,用于完整事件区间相交判断的 NCEI M+ 目录子集。,审计支撑,目录时间资格筛查不自动等于 AR 级阴性标签。,1052,184160,a6f60944f895c603803efbef06a572d9c7a5ca165920ae6edc9ebd0a32dbdcb1,a6f60944f895c603803efbef06a572d9c7a5ca165920ae6edc9ebd0a32dbdcb1
control 审计输入,04_control审计与替换依据/04_NCEI目录来源说明.csv,03_结果数据/09_严格对照审计/02_审计数据/NCEI目录来源说明.csv,NCEI 目录快照来源和使用说明。,审计支撑,用于保留目录版本和来源边界。,1,317,e383a2848c6f4e6ca631f16a7ef1a6f484f762351ced9aba9267f6889b4aa611,e383a2848c6f4e6ca631f16a7ef1a6f484f762351ced9aba9267f6889b4aa611
control 审计输入,04_control审计与替换依据/05_AR11429候选更正审计.csv,03_结果数据/09_严格对照审计/02_审计数据/AR11429候选更正审计.csv,AR11429 时间对照相关的更正审计。,审计支撑,用于说明为什么不把已污染时段当作时间对照。,1,450,41688eacd484c9dc436d3fa2f9a82f495b7760f1755103f37c7f9c3a2b419a7c,41688eacd484c9dc436d3fa2f9a82f495b7760f1755103f37c7f9c3a2b419a7c
替换依据,04_control审计与替换依据/06_严格数据门汇总.csv,03_结果数据/09_严格对照审计/02_审计数据/严格数据门汇总.csv,严格数据门候选的汇总。,仅支撑 3 条替换记录,不是新增最终样本池。,3,2120,d6e4ae9d1ca01876e72d61366c70065397989ccbca3b0d590de9ca6cf52cb7b1,d6e4ae9d1ca01876e72d61366c70065397989ccbca3b0d590de9ca6cf52cb7b1
替换依据,04_control审计与替换依据/07_候选T0与NCEI区间审计.csv,03_结果数据/09_严格对照审计/02_审计数据/候选T0与NCEI区间审计.csv,候选 T0 与完整 NCEI 事件区间的相交审计。,仅支撑 3 条替换记录,必须按完整区间，而非仅按事件起始时刻理解。,3,1697,30ed2b05dc881252f92a8d473ca37a0e32c543bdd1b3ebacb0868d23f868e8f6,30ed2b05dc881252f92a8d473ca37a0e32c543bdd1b3ebacb0868d23f868e8f6
替换依据,04_control审计与替换依据/08_候选时间块选择审计.csv,03_结果数据/09_严格对照审计/02_审计数据/候选时间块选择审计.csv,前推候选的时间块选择与去重依据。,仅支撑 3 条替换记录,不按 SHRGT45 斜率方向筛选。,11,4243,d81bec174dcaa0583a50fc433109ce7f0798f92db60d99046b8caf66d2776133,d81bec174dcaa0583a50fc433109ce7f0798f92db60d99046b8caf66d2776133
替换依据,04_control审计与替换依据/09_活动区最终选择摘要.csv,03_结果数据/09_严格对照审计/02_审计数据/活动区最终选择摘要.csv,各活动区的严格候选选择摘要。,仅支撑 3 条替换记录,不得把它解释为已形成独立安静活动区 control。,6,5419,1e0aa45695f8fa03fcf1b7c97a1a84186cd7d79806d9cecd6644ec303d35150d,1e0aa45695f8fa03fcf1b7c97a1a84186cd7d79806d9cecd6644ec303d35150d
替换依据,04_control审计与替换依据/10_全量目录清洁候选门控.csv,03_结果数据/09_严格对照审计/02_审计数据/全量目录清洁候选门控.csv,严格候选的完整目录清洁筛选证据。,仅支撑 3 条替换记录,保留失败原因，不能由通过时间筛查推出正式阴性标签。,672,410259,44a6ed47bde565b46f054f3a8b065a90585f996eba96bc89751b79254e17e8ce,44a6ed47bde565b46f054f3a8b065a90585f996eba96bc89751b79254e17e8ce
替换依据,04_control审计与替换依据/11_逐帧关键词核验.csv,03_结果数据/09_严格对照审计/02_审计数据/逐帧关键词核验.csv,候选历史帧、AR、质量和时间完整度核验。,仅支撑 3 条替换记录,用于复核记录完整性，不替代 FITS header 核验。,48,11759,49a800d2159632773b1d10fd37fa6b6cc8dd8c25a3ebfaa291193ab98a3d7411,49a800d2159632773b1d10fd37fa6b6cc8dd8c25a3ebfaa291193ab98a3d7411
替换依据,04_control审计与替换依据/12_JSOC重取清单.csv,03_结果数据/09_严格对照审计/02_审计数据/JSOC重取清单.csv,严格候选前推检索的 JSOC 查询清单。,审计支撑,仅用于重现替换候选的检索背景。,6,3707,a6d72b0521f37b8a75af9b5b94ee651cf8df2c46428c1904f385f1cbff54461b,a6d72b0521f37b8a75af9b5b94ee651cf8df2c46428c1904f385f1cbff54461b
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA11158_X2.2_20110215.json,02_数据与规则/raw_jsoc_keywords/NOAA11158_X2.2_20110215.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,7209,67c1d8854574aae4fedb3c77f9887323828206bc516b550b2104febe5883de7c,67c1d8854574aae4fedb3c77f9887323828206bc516b550b2104febe5883de7c
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA11429_X5.4_20120307.json,02_数据与规则/raw_jsoc_keywords/NOAA11429_X5.4_20120307.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,7366,968e16589bec3f76369ab77e9ad51e7d2215968dfed8d02769e2e123d73be162,968e16589bec3f76369ab77e9ad51e7d2215968dfed8d02769e2e123d73be162
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA11520_X1.4_20120712.json,02_数据与规则/raw_jsoc_keywords/NOAA11520_X1.4_20120712.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,7011,d76c788930e26beb5c50f7d2e06fdee795034637c1e0c1c0b90b83271da1dc64,d76c788930e26beb5c50f7d2e06fdee795034637c1e0c1c0b90b83271da1dc64
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA12192_X1.1_20141019.json,02_数据与规则/raw_jsoc_keywords/NOAA12192_X1.1_20141019.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,7426,8f176b2b3b5a2a718aed2c2d309c665bd24149680879550db2d7f864b76ebb61,8f176b2b3b5a2a718aed2c2d309c665bd24149680879550db2d7f864b76ebb61
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA12297_X2.1_20150311.json,02_数据与规则/raw_jsoc_keywords/NOAA12297_X2.1_20150311.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,5611,5ad909bf77236e29db624b4f3509e5f1ec318e530e531c87385ab0d46c877164,5ad909bf77236e29db624b4f3509e5f1ec318e530e531c87385ab0d46c877164
核心输入快照,01_核心输入与规则/raw_jsoc_keywords/NOAA12673_X9.3_20170906.json,02_数据与规则/raw_jsoc_keywords/NOAA12673_X9.3_20170906.json,主运行使用的单事件 JSOC 关键词 JSON 快照。,主运行输入,与查询清单和 333 条上游记录相互校验。,-,5914,f8a61b8ad6be009004cc10bfe120994770aa41fa49ee02b0311f5336643136e5,f8a61b8ad6be009004cc10bfe120994770aa41fa49ee02b0311f5336643136e5
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA11158_X2.2_20110215_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA11158_X2.2_20110215_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,46427,c9fbf59604bd5af841b801c0141c007a9ba7179ceccfb9f502d39bc865db2d30,c9fbf59604bd5af841b801c0141c007a9ba7179ceccfb9f502d39bc865db2d30
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA11429_X5.4_20120307_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA11429_X5.4_20120307_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,46912,2aa67e6b0d0da62f6fba7e6c5456e29ffa78b348ed26a97a52ecf03e834898ab,2aa67e6b0d0da62f6fba7e6c5456e29ffa78b348ed26a97a52ecf03e834898ab
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA11520_X1.4_20120712_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA11520_X1.4_20120712_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,42352,30bf8d6caf536f436f9c05e7707e5ba858b85f077aa215f05c3887ed8f33c881,30bf8d6caf536f436f9c05e7707e5ba858b85f077aa215f05c3887ed8f33c881
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA12192_X1.1_20141019_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA12192_X1.1_20141019_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,47448,4255777d3a8ec7dcc24e8b16c0ed1294906e0e3658e41da09203ac26a6509129,4255777d3a8ec7dcc24e8b16c0ed1294906e0e3658e41da09203ac26a6509129
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA12297_X2.1_20150311_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA12297_X2.1_20150311_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,41647,8c060ea2d5bec8f37738b50523205cbaa189f6f7439a54a69f2f0d18bfb24949,8c060ea2d5bec8f37738b50523205cbaa189f6f7439a54a69f2f0d18bfb24949
替换依据快照,04_control审计与替换依据/strict_search_raw_jsoc_keywords/NOAA12673_X9.3_20170906_preflare_80h_scan.json,03_结果数据/09_严格对照审计/02_审计数据/raw_jsoc_keywords/NOAA12673_X9.3_20170906_preflare_80h_scan.json,严格前推候选检索使用的 JSOC 关键词 JSON 快照。,仅支撑 3 条替换记录,不要将其与主运行 333 条记录合并为新的分析样本。,-,42493,a2df52df6d0a1364caa7ead1ee19d07b861fffc762e8ff9645035151de5f8405,a2df52df6d0a1364caa7ead1ee19d07b861fffc762e8ff9645035151de5f8405
